,id,link,title,publicationName,affiliation,abstract,publicationDate,ref_count,publicationYear
10,10,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85135278957&origin=inward,ZBOROVANJE AMERIŠKEGA ZDRUŽENJA GEOGRAFOV 2018,Dela,[],,"{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",null,2018
11,11,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85135274589&origin=inward,PROJEKT PO KREATIVNI POTI DO ZNANJA 2017–2020: STANJE IN POTENCIALI RABE VODNIH VIROV NA OBMOČJU OBČINE VITANJE S POUDARKOM NA PITNI VODI – H2O_VITANJE,Dela,[],,"{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",null,2018
12,12,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85133901976&origin=inward,Proportionality in Public Health Regulation: The Case of Dietary Supplements,Food Ethics,"[('National Institute of Environmental Health Sciences (NIEHS)', 'Research Triangle Park', 'United States')]","© 2017, This is a U.S. Government work and not under copyright protection in the US; foreign copyright protection may apply.The idea that the degree of infringement public health interventions have on individual rights should be proportional to the degree of expected benefits has emerged as an influential principle in public health ethics and policy. While proportionality makes sense in theory, it may be difficult to implement in practice, due to the inherent conflict between individual rights and the common good underlying the principle. To apply the proportionality principle to a decision of policy, one must still find a reasonable way of balancing these competing values in light of the available options and empirical evidence. In this article, I consider how the proportionality principle applies to the regulation of dietary supplements and examine some critiques of the current oversight system. I argue that it may be difficult maintain proportional oversight because the risks of dietary supplements vary considerably. Strengthening the regulations may therefore promote an appropriate level of regulation in some cases but lead to overregulation in others.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",77,2018
13,13,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85131802846&origin=inward,The constructionalization and constructional change of noncanonical V-NP expressions in Mandarin Chinese,Studies in Language,"[('Zhejiang Normal University', 'Jinhua', 'China')]","© John Benjamins Publishing Company.This paper investigates the process of constructionalization and constructional change of apparently noncanonical yet highly frequent V-NP expressions in Mandarin Chinese, which exist in other languages as well (e.g., Southeast Asian languages and African languages). A corpus-based survey of 20 frequently used monosyllabic verbs shows that both the token and the type frequency of the noncanonical V-NP expressions have on the whole been increasing throughout the history of the Chinese language. From a constructional perspective, it is proposed that the noncanonical V-NP structure has gone through a process of grammatical constructionalization and constructional change (Traugott & Trousdale 2013), which involves diachronic changes in productivity, schematicity and compositionality and which is manifested in the increasing number of the semantic types of postverbal NPs.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",52,2018
14,14,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85125060300&origin=inward,Making the Animals on the Plate Visible: Anglophone Celebrity Chef Cookbooks Ranked by Sentient Animal Deaths,Food Ethics,"[('University of California, San Diego', 'La Jolla', 'United States')]","© 2018, Springer International Publishing AG, part of Springer Nature.Recent decades have witnessed the rise of chefs to a position of cultural prominence. This rise has coincided with increased consciousness of ethical issues pertaining to food, particularly as they concern animals. We rank cookbooks by celebrity chefs according to the minimum number of sentient animals that must be killed to make their recipes. On our stipulative definition, celebrity chefs are those with their own television show on a national network in the United States, the United Kingdom, Canada or Australia. Thirty cookbooks by 26 such chefs were categorized according to the total number of cows, pigs, chicken, fish and other species they included as ingredients. The total number of animals killed was divided by the number of non-dessert recipes to generate an average number of animal deaths per recipe for each book. We outline the rationale for our project and its methodology before presenting a ranked table of 30 cookbooks by celebrity chefs. This method generates several interesting findings. The first concerns the wide variation in animal fatalities among cookbooks. The chef with the heaviest animal footprint killed 5.25 animals per recipe, while the omnivorous chef with the smallest footprints killed 0.19 per recipe. Clearly, not all approaches to meat eating are equal when it comes to their animal mortality rate. Pigs and large ruminants are all substantially bigger than poultry, which are themselves bigger than many fish. The prime determinant of a chef’s place in the index was the number of small animals his or her recipes required. Whether a chef cooked in the style of a particular cuisine (Italian, French, Mexican etc.), by contrast, had no discernible influence on his or her ranking. We analyze how different chefs present themselves—as either especially sensitive or insensitive to ethical issues involving animals and food—and note cases where these presentations do or do not match their index ranking.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",113,2018
15,15,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123438313&origin=inward,The translator's ethics: Visible or invisible; culpable or innocent; conscious or unconscious,Babel,"[('Universidad Autónoma de Madrid', 'Madrid', 'Spain')]","© John Benjamins Publishing Company.This article attempts to illuminate one of the most elusive aspects of the study of translation: the translator’s ethic. With the exception of Lawrence Venuti’s The Scandals of Translation (1998), few scholars have ventured in-depth studies of the subject. The study I propose is two-fold, with individual focuses on the theory and practice of translation, each analysed from three distinct perspectives: the translator’s visibility, culpability and conscience. This dual focus combined with its varying angles of analysis will lead to relatively well-defined conclusions. The theoretical element of this study is based upon scholarly opinion regarding existing constraints on the translator’s task (Lefevere; Bassnett; Lambert), and the direct influence of those constraints upon the literary translator’s process and final result. With the purpose of illustrating these theoretical suppositions, this essay analyses a recent translation (2013) of a political essay originally written in English and later published in translation in a Spanish newspaper. The detailed theoretical and practical analyses of this text will reveal the translator’s performance in the case of study as well as answer the following questions: Is the translator visible? If so, why did she choose to be? Is the translator culpable or innocent in the final results of the translation? Lastly, did the translator make the decisions in question consciously or unconsciously? The ultimate objective of this essay is to provide answers to these questions, thus not only clarifying the translator’s performance in this specific case but also demonstrating a translator’s ethic in more general terms. And, perhaps, it can also begin the elaboration of a much-needed ethical code for translators.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",10,2018
16,16,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118494635&origin=inward,Barriers or motivation? career progress in the family firm: Daughters' perspective,European Journal of Family Business,"[('IESE Business School', 'Barcelona', 'Spain')]","© 2021 European Journal of Family Business. All rights reserved.Women are under-represented in high-level management and administrative positions in family businesses. To date, the research on career motivation remains in the shadows of research on gender barriers. By acknowledging the relation between the two, it is proposed to look holistically at the problem and to empirically examine the relation between motivation, barriers, and position of daughters in family business in the family firm. By conducting SEM analysis, it was found that motivation to act ethically is positively associated with high positions and that barriers ""specific to family business"" are negatively related to high positions. This article validates two scales and makes methodological contributions to the stream of research on daughters in family business that to date relies mainly on qualitative studies.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",79,2018
17,17,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118475949&origin=inward,"The organizational culture of family enterprises and their relationship with innovation in the municipality of Cajeme, Mexico",European Journal of Family Business,"[('Instituto Tecnológico de Sonora', 'Ciudad Obregon', 'Mexico')]","© 2021 European Journal of Family Business. All rights reserved.Family businesses are increasingly calling attention to entrepreneurs, academics and organizations. This is largely due to their contribution to GDP, as well as being a source of employment. Family enterprises have very peculiar characteristics, such as shared identity, privacy, very close and emotional relationships; however, they also face various problems related to the internal and external barriers in innovation. Among the internal barriers are the excessive risk, lack of trained personnel, high costs, and lack of expert staff; therefore, it has an impact when it comes to innovation, and the organizational culture must be added as a fundamental factor. The objective of the study is to analyze the relationship and influence of the organizational culture with the innovation in the family enterprises in Cajeme, México in order to generate new cultural models. The proposed hypotheses are: H1. The organizational culture is positively and significantly related with the innovation; H2. The educational level is related and influences, positively and significantly, innovation within the family enterprise.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",45,2018
18,18,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85113785345&origin=inward,The typological change of motion expressions in Chinese revisited: Motion events in Old Chinese and its Modern Chinese translation,Studies in Language,"[('Zhejiang University', 'Hangzhou', 'China')]","© John Benjamins Publishing Company.This paper reports on a corpus-based study aimed at reexamining the typological status and diachronic change of motion expressions in Chinese, drawing on parallel texts consisting of autonomous motion expressions in Old Chinese (OC) and its Modern Chinese (MoC) translation. The results show that MoC significantly differs from OC both in the preference of lexicalization patterns (Talmyan typology) and semantic components distributed in discourse (Slobinian typology) when narrating similar motion scenes. However, these results fail to support the viewpoint that Chinese has undergone a change from a verb- to a satellite-frame (Li 1993; Talmy 2000; Peyraube 2006; Shi & Wu 2014). It is argued that (i) the Talmyan typology and the Slobinian typology should be treated separately. In Talmyan typology, the diachrony of Chinese demonstrates the change of a V- to a parallel-frame, in that satellite- and verb-framed constructions in MoC have equal frequency and show no bias for the encoding of subtypes of autonomous motion. In Slobinian typology, MoC remains as a Path-salient language, as it gives considerable weight to the expression of Path; (ii) the dominant lexicalization pattern in a language varies from one sub-domain of motion to another (see also Lamarre 2003), and thus the typology of motion expressions is sub-domain-specific; and (iii) motivating forces and blocking forces, furthermore, co-exist diachronically for the typological evolution of motion encoding due to the idiosyncrasy of the morphosyntactic system.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",41,2018
19,19,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85113752560&origin=inward,Effects of organisational structure on social value: Mediating role of financial performance,Management and Accounting Review,"[('Universiti Teknologi MARA', 'Shah Alam', 'Malaysia')]","© 2018, Universiti Teknologi Mara. All rights reserved.Social enterprise (SE) is a hybrid organisation, which combine two different goals in their mission and vision. In an attempt to sustain their operation, a social enterprise must ensure that both missions (social and financial) is equally balanced and achievable. The existence of SE is to fill the gap leave behind by traditional profit organisation, non-profit organisations (NPOs) and the government. The aim is to positively impact the social, cultural and environmental issues through their unique business model. Their uniqueness, while can benefit the community and society as a whole is prone to fraud and misuse of funds which would eventually affect the survival of SE. The issues are originated from weak governance particularly the structure of their organisations. Hence, this study aims to examine the relationship between the organisational structure, financial performance and social value of SE in Malaysia. On the other hand, the study also aim to examine the mediating role of financial performance on the relationship between organisational structure and social value. Organisational structure is vital as carefully selected, well designed and well managed organisational structure will improve the impact of social enterprise on the society. This study is based on the 134 data obtained from the SE in Malaysia and registered as Company Limited by Guarantee (CLBG). The selection of a sample of respondents was done using purposive sampling method. Based on multiple regression analysis, the study found that organisational structure and financial performance significantly influence the social value of SE. Furthermore, it was also found that financial performance indeed mediates the relationship between organisational structure and social value. It is hoped that the study can contribute to the improvement of the performance of SE in Malaysia and as well as encourage the development of research in the area of SE.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",71,2018
20,20,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85106088056&origin=inward,China’s language services as an emerging industry,Babel,"[('Translators Association of China (TAC)', None, 'China')]","© John Benjamins Publishing Company.Languages play an essential role in China’s drive for modernization and in its interactions with the rest of the world. Discussions in this paper are designed to offer an overview of China’s language services, which have grown into a sizable industry with more than 70,000 businesses. In addition to its growth in size, the language services industry has also been a leader in introducing CAT technology in translation and adopting advanced technologies such as cloud computing, artificial intelligence, etc. Language service providers (LSPs) have also worked with institutions of higher learning in various forms of collaboration to provide internship opportunities to students of translation and other forms of support to universities. In order to promote the healthy development of the industry, the Translators Association of China (TAC) has done a huge amount of work in organizing industry efforts to develop guidelines for different kinds of language services, and help the industry to exercise self-regulation. This paper also discusses the challenges that the industry faces today and offers recommendations to the industry as it moves forward.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",6,2018
21,21,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85106012993&origin=inward,"Human impersonal pronouns in West Germanic: A questionnaire-based comparative study of Afrikaans, Dutch and English",Studies in Language,"[('Department of Linguistics and English Language, Lancaster University', 'Lancaster', 'United Kingdom')]","© John Benjamins Publishing Company.In this article, we examine and compare the main human impersonal pronouns in Afrikaans, Dutch and English. The second person singular, the third person plural and the ‘man’- and ‘one’-pronouns are studied by means of an acceptability judgment questionnaire and a completion questionnaire. The combination of the two methods reveals interesting descriptive facts about the three West Germanic languages. They include, among other things, the ‘man’-prominence of Afrikaans versus the ‘you’-prominence of Dutch and English for expressing the universal meaning ‘anyone’ and the more prominent position of ‘they’ in Dutch than in the other languages for conveying the existential meaning ‘someone, some people’. Our findings have a number of more theoretical implications too. The two existing semantic maps for human impersonal pronouns make different distinctions in the existential domain, based on type/level of (un)knownness on the one hand and number on the other. Our study tests both sets of distinctions and shows that the two dimensions interact with each other in Afrikaans, Dutch and English. The results thus support a recent proposal in the literature for a combined semantic map. The data from the completion questionnaire, finally, also indicates that existential uses prefer alternative forms of impersonalization to human impersonal pronouns in all three languages.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",35,2018
22,22,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105804145&origin=inward,Influence of soil macrofauna on soil organic carbon content,Ochrona Srodowiska i Zasobow Naturalnych,"[('National Research Institute', None, None)]","© 2021 IOS-PIB.Macrofauna plays a very important role in the functioning of the natural environment. It plays an important role in the decomposition of organic matter by mixing and crushing organic matter in soil. Invertebrate faeces influence the development of microorganisms and their dead bodies stimulate mineralization in the soil. They also influence the humification processes. The aim of the study was to determine the influence of macrofauna and litter distribution and the accumulation of organic carbon in soil. The study showed a significant influence of this thick animal on the processes taking place in the soil. Significant correlations were observed between the organic carbon content in the litter and the organic carbon content in the soil, macrofauna activity with litter decomposition and its influence on the organic carbon accumulation.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",12,2018
23,23,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105755597&origin=inward,"Contamination of bottom sediments by lead, zinc and cadmium in Rzeszow reservoir",Ochrona Srodowiska i Zasobow Naturalnych,"[('Politechnika Rzeszowska im. Ignacego Łukasiewicza', 'Rzeszow', 'Poland')]","© 2021 IOS-PIB.The aim of the present study was to determine the level of contamination of the bottom sediments in the Rzeszow reservoir by the selected heavy metals Pb, Cd and Zn, and to identify the potential environmental risks of heavy metals content basing on available assessments and classification of bottom sediments. The Rzeszow reservoir is situated on the Wisłok River in the Podkarpackie Voivodeship, southeaster Poland, was constructed on 1974. Nowadays, as a result of silting, the reservoir reduced its surface and depth, which does not have a positive effect on the assumed functions it is to perform. The study was conducted in 2016. The samples of sediment were collected in five locations. Samples were taken twice: in June and in October. The following concentrations have been determined: cadmium - 0.01 ÷ 0.92 mg·kg-1, zinc - 54.39 ÷ 128 mg·kg-1, lead - 2.98 ÷ 25.42 mg·kg-1. The decline trend in the sediment is following: Zn > Pb > Cd. For the assessment of sediment contamination, following methods: aquatic sediment quality classification used by the Polish Geological Institute - I class, Regulation of the Minister of Environment of April 16 2002 on the types and concentrations of substances contaminating the excavated material - unpolluted and LAW sediment classification - Pb - I/I-II, Cd - I/I-II/II and Zn - I/I-II. The obtained results were compared with the results obtained by the other authors in earlier years, which led to the estimated changes in the concentration of the tested metals.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",14,2018
24,24,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105729175&origin=inward,"Comparison of Fe, Zn, Mn, Cu, Cd and Pb concentration in spruce needles collected in the area of Gdansk and Gdynia in Northern Poland",Ochrona Srodowiska i Zasobow Naturalnych,"[('Gdanski Uniwersytet Medyczny', 'Gdansk', 'Poland')]","© 2021 IOS-PIB.The aim of the investigation was to assess the utility of spruce needles as a potential material to be used for monitoring the contamination level of the environment of Tricity agglomeration (represented by Gdansk and Gdynia). This aim was realized by determining the levels of selected essential elements indispensable for the life of living organisms, such as Fe, Zn, Mn and Cu, as well as toxic, namely Cd and Pb, in spruce needles collected in the locations in Gdynia and for comparison, in Gdańsk. Due to this, the collected samples of needles were dried, and next digested by microwave technique in order to prepare them for quantitative analysis by atomic absorption spectrometry. Moreover, the same metallic elements were determined in the soil samples collected under the spruces, from which needles were taken for the investigation. The concentrations of the studied elements were found in the range of mg/kg of dry mass in the following order: Fe, Mn, Zn, Pb, Cu and Cd (needles), and Fe, Mn, Cu, Zn, Pb and Cd (soils). By application of statistical methods (correlation, variance and principal component analyses), the differences in the elemental composition of spruce needles were identified, as well as sources of this differentiation.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",15,2018
25,25,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85104205587&origin=inward,"Innovation in outcomes-based water quality policy: A case study from the Yahara watershed, Wisconsin, USA",Case Studies in the Environment,"[('University of Idaho', 'Moscow', 'United States'), ('University of Wisconsin-Madison', 'Madison', 'United States')]","© 2018 by the Regents of the University of California.This case examines the risks and opportunities for stakeholders involved in an experimental water quality management program in Wisconsin, USA. This program pays for pounds of pollution reduced through soil conservation practices on farm fields and other high-runoff areas across the landscape-nonpoint sources of pollution-by redirecting funds from the sewerage plant and municipal point sources of pollution. Uncertain monitoring and modeling of pollution sources used for program payments and accountability create perceived and real risks to program participants and the environment, including the threat of regulatory enforcement, lost revenue, and failure to achieve environmental outcomes. On the other hand, in this case study, regulatory flexibility also opened a space for stakeholder dialog and programmatic cooperation that could lead to more adaptive and locally acceptable watershed pollution control in the future.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",20,2018
